PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] OSTEO_ASC_WT_SN_WO_1.raw.PG.Log2Quantity	[2] OSTEO_ASC_WT_SN_WO_2.raw.PG.Log2Quantity	[3] OSTEO_ASC_WT_SN_WO_3.raw.PG.Log2Quantity	[4] OSTEO_ASC_WT_SN_Light_1.raw.PG.Log2Quantity	[5] OSTEO_ASC_WT_SN_Light_2.raw.PG.Log2Quantity	[6] OSTEO_ASC_WT_SN_Light_3.raw.PG.Log2Quantity	[7] OSTEO_ASC_TLR10_LOV_SN_WO_1.raw.PG.Log2Quantity	[8] OSTEO_ASC_TLR10_LOV_SN_WO_2.raw.PG.Log2Quantity	[9] OSTEO_ASC_TLR10_LOV_SN_WO_3.raw.PG.Log2Quantity	[10] OSTEO_ASC_TLR10_LOV_SN_Light_1.raw.PG.Log2Quantity	[11] OSTEO_ASC_TLR10_LOV_SN_Light_2.raw.PG.Log2Quantity	[12] OSTEO_ASC_TLR10_LOV_SN_Light_3.raw.PG.Log2Quantity	[1] OSTEO_ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] OSTEO_ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] OSTEO_ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] OSTEO_ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] OSTEO_ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] OSTEO_ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] OSTEO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] OSTEO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] OSTEO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] OSTEO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] OSTEO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] OSTEO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
P21912	SDHB	Homo sapiens	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	SDHB_HUMAN	1	1	1	False	10,359951389440782	10,805146351032255	9,823821342482589	10,450010169286678	10,68867685977083	10,343953265089098	10,093336801278467	10,580990889749435	9,976632468299362	11,061580169360298	10,568653618845465	NaN	1314,183837890625	1789,2587890625	906,2852172851562	1398,8350830078125	1650,4879150390625	1299,6912841796875	1092,4388427734375	1531,77734375	1007,5477294921875	2137,3095703125	1518,734130859375	NaN
P21926	CD9	Homo sapiens	CD9 antigen	CD9_HUMAN	1	1	1	False	8,628000022599483	11,503618441842773	9,031036482706755	10,36104326969426	10,142333489240887	NaN	10,660092325342829	9,423504890727205	11,418776282863968	10,380509286515323	11,644138598920524	11,182482708931841	395,6278076171875	2903,582763671875	523,1339111328125	1315,1788330078125	1130,1773681640625	NaN	1618,108154296875	686,6851196289062	2737,75244140625	1333,0445556640625	3200,62646484375	2324,142333984375
P21964;P21964-2	COMT	Homo sapiens	Catechol O-methyltransferase;Isoform Soluble of Catechol O-methyltransferase	COMT_HUMAN	3	3	3	False	10,903947655784165	9,882406475117227	10,991039105639803	10,072722571413959	10,753336531816467	7,3464669319909115	11,258126769664	8,882293305028638	10,97798305743348	10,262694757447944	7,802930352120295	10,046152482007452	1916,08740234375	943,84521484375	2035,31884765625	1076,9403076171875	1726,143310546875	162,74472045898438	2449,254150390625	471,8855895996094	2016,9827880859375	1228,5107421875	223,31407165527344	1057,287841796875
P21980	TGM2	Homo sapiens	Protein-glutamine gamma-glutamyltransferase 2	TGM2_HUMAN	6	6	6	False	12,28927440629463	12,961935549644735	12,939021005472004	12,576927495252896	13,314699816657228	12,843674686722208	13,839099867780284	12,942551015535622	13,15393481581315	13,278581322176382	13,67265031820284	13,547581667620632	5005,41650390625	7978,6865234375	7852,9609375	6109,87646484375	10188,8232421875	7350,74462890625	14654,9443359375	7872,19921875	9114,41796875	9936,908203125	13058,0361328125	11973,7021484375
P22059	OSBP	Homo sapiens	Oxysterol-binding protein 1	OSBP1_HUMAN	3	3	3	False	13,819594894614347	13,073055476652193	12,37959967782288	13,247746322869217	12,269565603525407	12,838840659237134	12,354780171215918	12,637107515398773	11,508596952372425	12,877755088325145	12,503038242438054	11,429302144334367	14458,1455078125	8617,5107421875	5328,8173828125	9726,7783203125	4937,501953125	7326,15576171875	5237,9267578125	6370,1318359375	2913,619873046875	7526,45654296875	5804,83056640625	2757,800048828125
P22061;P22061-2	PCMT1	Homo sapiens	Protein-L-isoaspartate(D-aspartate) O-methyltransferase;Isoform 2 of Protein-L-isoaspartate(D-aspartate) O-methyltransferase	PIMT_HUMAN	10	10	10	False	15,051580367843385	15,153923222471086	15,319317238606343	14,577681560965646	15,085768242183619	14,907583679699957	14,465831915750595	14,851304122940006	15,165848379646336	14,614772514635904	14,639936158546973	14,985604411785017	33960,7421875	36457,37890625	40885,94140625	24452,283203125	34775,12890625	30734,76171875	22628,1640625	29558,8828125	36759,98046875	25089,08984375	25530,53515625	32442,658203125
P22087	FBL	Homo sapiens	rRNA 2'-O-methyltransferase fibrillarin	FBRL_HUMAN	3	3	3	False	13,454638168737786	13,45612952800097	12,777460812669785	14,036379227564776	12,866616288714264	8,1114587151364	NaN	NaN	9,913774822182003	10,05301207211812	11,68270082247242	NaN	11226,63671875	11238,248046875	7021	16802,39453125	7468,56982421875	276,5619201660156	NaN	NaN	964,5918579101562	1062,326904296875	3287,33056640625	NaN
P22102;P22102-2	GART	Homo sapiens	Trifunctional purine biosynthetic protein adenosine-3;Isoform Short of Trifunctional purine biosynthetic protein adenosine-3	PUR2_HUMAN	4	4	4	False	12,815991344123985	12,811339902253913	12,668340107956853	12,23542061044149	13,0055258692675	12,834710119589689	11,792572175115934	12,63998747892988	12,652927009598601	12,41444059601546	12,799833268812701	12,901883688764757	7211,03857421875	7187,82666015625	6509,541015625	4822,015625	8223,4375	7305,21044921875	3547,463623046875	6382,86083984375	6440,3662109375	5459,07421875	7130,72607421875	7653,392578125
P22105;P22105-1	TNXB	Homo sapiens	Tenascin-X;Isoform 3 of Tenascin-X	TENX_HUMAN	86	86	95	True	11,044025174612294	12,157245306000036	12,357156373500185	12,021654729052582	15,485767902152928	11,82002183781487	15,038908610134685	11,834481851885876	16,175318830065383	15,101624208902496	15,591455005376067	15,968431696756957	2111,4599609375	4567,67822265625	5246,56103515625	4157,9443359375	45886,046875	3615,606201171875	33663,7578125	3652,02734375	74004,1640625	35159,43359375	49373,6953125	64117,55078125
P22234;P22234-2	PAICS	Homo sapiens	Multifunctional protein ADE2;Isoform 2 of Multifunctional protein ADE2	PUR6_HUMAN	9	9	9	False	14,02323371067044	14,13827617557514	14,093952485681234	13,344160838590314	14,44289744329952	14,108486809533947	13,9963278865814	13,766778292295145	14,8861754774391	13,74281999344676	14,349835575910568	14,564862246272417	16649,990234375	18032,0546875	17486,482421875	10399,0263671875	22271,2890625	17663,5390625	16342,3505859375	13938,4091796875	30282,0546875	13708,8505859375	20880,021484375	24235,970703125
