PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] OSTEO_ASC_WT_WCL_WO_1_20240411145013.raw.PG.Log2Quantity	[2] OSTEO_ASC_WT_WCL_WO_2_20240411161114.raw.PG.Log2Quantity	[3] OSTEO_ASC_WT_WCL_WO_3_20240411173214.raw.PG.Log2Quantity	[4] OSTEO_ASC_WT_WCL_Light_1_20240411194918.raw.PG.Log2Quantity	[5] OSTEO_ASC_WT_WCL_Light_2_20240411211021.raw.PG.Log2Quantity	[6] OSTEO_ASC_WT_WCL_Light_3_20240411223121.raw.PG.Log2Quantity	[7] OSTEO_ASC_TLR10_LOV_WCL_WO_1_20240412004820.raw.PG.Log2Quantity	[8] OSTEO_ASC_TLR10_LOV_WCL_WO_2_20240412020921.raw.PG.Log2Quantity	[9] OSTEO_ASC_TLR10_LOV_WCL_WO_3_20240412033021.raw.PG.Log2Quantity	[10] OSTEO_ASC_TLR10_LOV_WCL_Light_1_20240412054721.raw.PG.Log2Quantity	[11] OSTEO_ASC_TLR10_LOV_WCL_Light_2_20240412070821.raw.PG.Log2Quantity	[12] OSTEO_ASC_TLR10_LOV_WCL_Light_3_20240412082921.raw.PG.Log2Quantity	[1] OSTEO_ASC_WT_WCL_WO_1_20240411145013.raw.PG.MS2Quantity	[2] OSTEO_ASC_WT_WCL_WO_2_20240411161114.raw.PG.MS2Quantity	[3] OSTEO_ASC_WT_WCL_WO_3_20240411173214.raw.PG.MS2Quantity	[4] OSTEO_ASC_WT_WCL_Light_1_20240411194918.raw.PG.MS2Quantity	[5] OSTEO_ASC_WT_WCL_Light_2_20240411211021.raw.PG.MS2Quantity	[6] OSTEO_ASC_WT_WCL_Light_3_20240411223121.raw.PG.MS2Quantity	[7] OSTEO_ASC_TLR10_LOV_WCL_WO_1_20240412004820.raw.PG.MS2Quantity	[8] OSTEO_ASC_TLR10_LOV_WCL_WO_2_20240412020921.raw.PG.MS2Quantity	[9] OSTEO_ASC_TLR10_LOV_WCL_WO_3_20240412033021.raw.PG.MS2Quantity	[10] OSTEO_ASC_TLR10_LOV_WCL_Light_1_20240412054721.raw.PG.MS2Quantity	[11] OSTEO_ASC_TLR10_LOV_WCL_Light_2_20240412070821.raw.PG.MS2Quantity	[12] OSTEO_ASC_TLR10_LOV_WCL_Light_3_20240412082921.raw.PG.MS2Quantity
Q9Y421;Q9Y421-2	FAM32A	Homo sapiens	Protein FAM32A;Isoform 2 of Protein FAM32A	FA32A_HUMAN	2	2	2	False	13,466892600112022	13,14400079115966	13,141747622973215	12,850058708421589	NaN	12,59137156641715	NaN	13,729230613899654	NaN	12,92279715286834	12,328944819089317	11,956685358440188	11322,4033203125	9051,8740234375	9037,748046875	7383,34423828125	NaN	6171,35498046875	NaN	13580,3271484375	NaN	7765,14501953125	5144,96240234375	3974,851806640625
Q9Y426;Q9Y426-3	C2CD2	Homo sapiens	C2 domain-containing protein 2;Isoform 3 of C2 domain-containing protein 2	C2CD2_HUMAN	9	9	9	False	15,117102622313276	12,876974105005663	13,90814052837804	15,632891723124537	13,401020630182071	13,233375237280594	15,110752030121333	15,149465873813433	12,755244468501978	14,441857200384732	14,441085931621554	15,2461714255079	35538,68359375	7522,38330078125	15373,3134765625	50812,35546875	10817,05859375	9630,3681640625	35382,58984375	36344,9140625	6913,71044921875	22255,236328125	22243,341796875	38864,6640625
Q9Y450;Q9Y450-4	HBS1L	Homo sapiens	HBS1-like protein;Isoform 3 of HBS1-like protein	HBS1L_HUMAN	19	19	19	False	15,276071571236466	15,532717137927184	15,573829526331052	15,351727686366608	15,600376078432019	15,301189853455305	15,560042281384083	15,565141484666677	15,351012131950759	15,37243521273547	15,447619909359574	15,414676462523436	39678,546875	47403,8671875	48774,1640625	41814,84765625	49679,94921875	40375,42578125	48310,26953125	48481,32421875	41794,11328125	42419,359375	44688,62109375	43679,734375
Q9Y471;Q9Y471-4	CMAHP	Homo sapiens	Inactive cytidine monophosphate-N-acetylneuraminic acid hydroxylase;Isoform 2 of Inactive cytidine monophosphate-N-acetylneuraminic acid hydroxylase	CMAH_HUMAN	1	1	1	False	NaN	NaN	NaN	8,009935372774711	NaN	NaN	NaN	0	6,739507973609997	-1,1956031635284106	NaN	NaN	NaN	NaN	NaN	257,7690734863281	NaN	NaN	NaN	1	106,85480499267578	0,4366038739681244	NaN	NaN
Q9Y478	PRKAB1	Homo sapiens	5'-AMP-activated protein kinase subunit beta-1	AAKB1_HUMAN	8	8	9	False	14,775304039476955	14,840498271082357	15,116133565562503	15,319042782346376	15,159417134875632	14,80015923736902	15,120956696355515	14,978899298356144	15,340507956120616	14,911856785461262	14,912313757488077	15,005498114322032	28042,046875	29338,3125	35514,8203125	40878,1640625	36596,4765625	28529,349609375	35633,75	32292,2265625	41490,91796875	30825,9296875	30835,6953125	32893,1171875
Q9Y484;Q9Y484-3	WDR45	Homo sapiens	WD repeat domain phosphoinositide-interacting protein 4;Isoform 3 of WD repeat domain phosphoinositide-interacting protein 4	WIPI4_HUMAN	5	5	6	False	14,51280422752304	14,459390717456186	14,287051462585547	14,409783116578133	14,736633147798043	14,720071373863847	14,047845983093426	14,271584561644419	14,818855970734118	14,21030406633097	14,578572745166213	14,455495794611581	23377,033203125	22527,361328125	19990,83984375	21765,916015625	27300,375	26988,765625	16936,474609375	19777,666015625	28901,484375	18955,173828125	24467,392578125	22466,625
Q9Y485	DMXL1	Homo sapiens	DmX-like protein 1	DMXL1_HUMAN	23	23	23	False	15,157464594408049	15,054160455208777	15,299687210220418	15,065321625388925	14,9507158023296	15,05882494939009	15,05688705904221	14,935423075692135	14,931542780919834	14,722214678597203	14,890798818218586	15,460483018780648	36546,98046875	34021,53125	40333,39453125	34285,75390625	31667,509765625	34131,70703125	34085,890625	31333,603515625	31249,44140625	27028,890625	30379,25390625	45088,84765625
Q9Y487	ATP6V0A2	Homo sapiens	V-type proton ATPase 116 kDa subunit a2	VPP2_HUMAN	8	8	8	False	12,601928191092192	11,041685718306537	12,704978838746744	12,96915663745014	11,554531942593815	10,82159503898336	12,115877272970147	11,982131125103052	11,420462711494178	11,814263456966328	12,201555315302622	13,132698183191518	6216,67822265625	2108,038818359375	6676,974609375	8018,72216796875	3007,88134765625	1809,7755126953125	4438,56396484375	4045,580810546875	2740,95458984375	3601,20361328125	4710,1435546875	8981,2353515625
Q9Y490	TLN1	Homo sapiens	Talin-1	TLN1_HUMAN	151	172	217	False	21,708449192211656	21,87117843544088	21,79273450181765	21,636849055136885	21,740965314197076	21,842419980093847	21,812123041384986	21,61010014753199	21,852861404251872	21,842764373258728	21,69410757003178	21,557247374799953	3426844,25	3836019	3633011,5	3260923,25	3504957	3760309,5	3682165,5	3201019,75	3787623,25	3761207,25	3392947,25	3085873,25
Q9Y496	KIF3A	Homo sapiens	Kinesin-like protein KIF3A	KIF3A_HUMAN	12	13	13	False	13,90981527829401	13,963693927516491	14,007673373161433	13,937279879701197	14,458381329242862	13,957037371867823	14,049275080376667	13,914773161226018	14,06122103377067	14,054255698463091	14,523859470319039	14,248669563488432	15391,169921875	15976,833984375	16471,375	15686,978515625	22511,60546875	15903,287109375	16953,259765625	15444,1533203125	17094,220703125	17011,888671875	23556,857421875	19466,009765625
Q9Y4A5;Q9Y4A5-2	TRRAP	Homo sapiens	Transformation/transcription domain-associated protein;Isoform 2 of Transformation/transcription domain-associated protein	TRRAP_HUMAN	21	21	21	False	14,179123971324993	12,620580504303877	13,445223914247132	13,836559809423706	13,139467822520208	13,291468917434159	13,790380118683485	13,495549362758467	12,901573194437386	13,330674842972254	12,880956797541977	13,364142004050713	18549,90234375	6297,57421875	11153,6162109375	14629,1650390625	9023,4775390625	10026,072265625	14168,310546875	11549,552734375	7651,74560546875	10302,271484375	7543,17822265625	10544,0537109375
