PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ADIPO_ASC_WT_SN_WO_1.raw.PG.Log2Quantity	[2] ADIPO_ASC_WT_SN_WO_2.raw.PG.Log2Quantity	[3] ADIPO_ASC_WT_SN_WO_3.raw.PG.Log2Quantity	[4] ADIPO_ASC_WT_SN_Light_1.raw.PG.Log2Quantity	[5] ADIPO_ASC_WT_SN_Light_2.raw.PG.Log2Quantity	[6] ADIPO_ASC_WT_SN_Light_3.raw.PG.Log2Quantity	[7] ADIPO_ASC_TLR10_LOV_SN_WO_1.raw.PG.Log2Quantity	[8] ADIPO_ASC_TLR10_LOV_SN_WO_2.raw.PG.Log2Quantity	[9] ADIPO_ASC_TLR10_LOV_SN_WO_3.raw.PG.Log2Quantity	[10] ADIPO_ASC_TLR10_LOV_SN_Light_1.raw.PG.Log2Quantity	[11] ADIPO_ASC_TLR10_LOV_SN_Light_2.raw.PG.Log2Quantity	[12] ADIPO_ASC_TLR10_LOV_SN_Light_3.raw.PG.Log2Quantity	[1] ADIPO_ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] ADIPO_ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] ADIPO_ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] ADIPO_ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] ADIPO_ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] ADIPO_ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] ADIPO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] ADIPO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] ADIPO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] ADIPO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] ADIPO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] ADIPO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
Q15582	TGFBI	Homo sapiens	Transforming growth factor-beta-induced protein ig-h3	BGH3_HUMAN	34	37	48	False	17,185154610973996	18,406094559179873	19,18031150649939	17,783736843217074	17,781367418326845	18,502934723537468	18,047150877701323	18,75293225106352	18,381690406266408	18,232877160599692	18,831988229500986	18,319618652999267	149020,84375	347365,40625	594085,6875	225651,5	225281,203125	371482,5	270853,0625	441768,875	341538,90625	308065,40625	466652,21875	327155,875
Q15599;Q15599-2	SLC9A3R2	Homo sapiens	Na(+)/H(+) exchange regulatory cofactor NHE-RF2;Isoform 2 of Na(+)/H(+) exchange regulatory cofactor NHE-RF2	NHRF2_HUMAN	3	3	3	True	10,743048231336982	10,37009723701818	10,09928263048488	9,856328636246158	10,391558402934665	10,155856631073872	11,788951766884876	10,802658449304625	12,070110951210303	10,61045604283072	11,651945655483422	11,159130683205941	1713,87744140625	1323,45849609375	1096,950439453125	926,937744140625	1343,2930908203125	1140,8209228515625	3538,572509765625	1786,1759033203125	4299,97021484375	1563,383544921875	3217,993408203125	2286,82568359375
Q15631	TSN	Homo sapiens	Translin	TSN_HUMAN	3	3	3	False	12,33255126131483	11,026964241732442	8,891590061655068	11,843763041669806	11,47446077016899	10,474738881655824	11,310133321618915	10,001461971442605	14,202339834219336	10,800821813056263	11,658796255081139	10,404344461105378	5157,83984375	2086,637451171875	474,9362487792969	3675,597412109375	2845,48876953125	1423,0186767578125	2539,156005859375	1025,0382080078125	18850,822265625	1783,9034423828125	3233,310302734375	1355,2510986328125
Q15637;Q15637-2;Q15637-3;Q15637-4;Q15637-5;Q15637-6	SF1	Homo sapiens	Splicing factor 1;Isoform 2 of Splicing factor 1;Isoform 3 of Splicing factor 1;Isoform 4 of Splicing factor 1;Isoform 5 of Splicing factor 1;Isoform 6 of Splicing factor 1	SF01_HUMAN	8	8	8	False	13,36245301177742	12,954856661380298	13,214694418037643	13,211050859719025	13,302537130433082	13,10713420719903	13,293082469912312	13,003742986248492	13,345527070329755	13,236103120446788	13,075757569386273	13,146423088077796	10531,716796875	7939,63330078125	9506,47265625	9482,494140625	10103,287109375	8823,4931640625	10037,2919921875	8213,28125	10408,87890625	9648,5947265625	8633,666015625	9067,0849609375
Q15642;Q15642-2	TRIP10	Homo sapiens	Cdc42-interacting protein 4;Isoform 2 of Cdc42-interacting protein 4	CIP4_HUMAN	11	11	11	False	13,644542306167367	13,554630185469009	13,051928307123122	13,768378295544222	13,597927513290951	13,254302328660241	13,341528595803192	13,148464634562236	12,869913272405652	13,444352827773974	13,433564430015073	13,493500864746819	12806,0888671875	12032,3447265625	8492,2333984375	13953,8759765625	12398,92578125	9771,080078125	10380,0703125	9079,9248046875	7485,6572265625	11146,8837890625	11063,8388671875	11533,1650390625
Q15651	HMGN3	Homo sapiens	High mobility group nucleosome-binding domain-containing protein 3	HMGN3_HUMAN	6	6	6	True	14,293441618573258	13,78353233773067	13,738560814095614	13,863710171698568	13,873584918731122	13,436544697902804	13,30924929393808	13,219996532782938	13,47040666315326	13,548890446394603	12,834014402776749	13,287618263170296	20079,58203125	14101,2197265625	13668,4384765625	14907,0810546875	15009,46484375	11086,7177734375	10150,40234375	9541,474609375	11350,015625	11984,5693359375	7301,6884765625	9999,34765625
Q15654	TRIP6	Homo sapiens	Thyroid receptor-interacting protein 6	TRIP6_HUMAN	8	8	9	False	14,454247702315145	14,19748638357544	14,284319892169165	14,166852797791883	14,23826929719946	14,064044567869992	14,797033724486178	14,570170718545738	14,633943086250333	14,085120844225811	14,372819106031441	14,364875517374726	22447,197265625	18787,51171875	19953,025390625	18392,791015625	19326,185546875	17127,708984375	28467,609375	24325,3125	25424,69921875	17379,763671875	21215,32421875	21098,83203125
Q15691	MAPRE1	Homo sapiens	Microtubule-associated protein RP/EB family member 1	MARE1_HUMAN	9	9	9	False	15,555630383119345	15,376346272111087	15,396857558222559	15,568247938743292	15,541497003727446	15,170251196542482	15,681035152091908	15,308661631351162	15,903965486481408	15,517052029333362	15,667448451650339	15,641764686252339	48162,7578125	42534,51171875	43143,55859375	48585,828125	47693,234375	36872,3359375	52536,59765625	40585,07421875	61315,5546875	46891,9296875	52044,15234375	51125,828125
Q15714;Q15714-2;Q15714-3	TSC22D1	Homo sapiens	TSC22 domain family protein 1;Isoform 2 of TSC22 domain family protein 1;Isoform 3 of TSC22 domain family protein 1	T22D1_HUMAN	1	1	1	False	15,02750750056827	14,494515528399708	14,456795312716444	14,629390196261378	14,756725907730322	14,656136554893525	14,58891211711431	14,021718599160865	13,733638298695967	14,33426946571533	13,947213230308307	14,087245600690489	33398,7734375	23082,55859375	22486,87109375	25344,58984375	27683,25390625	25818,83984375	24643,373046875	16632,513671875	13621,880859375	20655,9453125	15795,3603515625	17405,37890625
Q15717;Q15717-2	ELAVL1	Homo sapiens	ELAV-like protein 1;Isoform 2 of ELAV-like protein 1	ELAV1_HUMAN	9	9	9	False	15,127253806973078	14,825796525641596	14,818609481134814	14,621023621971087	14,962340657128173	14,697328719178103	14,785356876547155	14,649354756403852	14,719660899176175	14,609597305650288	14,541670927693236	14,726377834863994	35789,625	29040,859375	28896,546875	25198,03515625	31923,708984375	26566,650390625	28238,12890625	25697,755859375	26981,087890625	24999,251953125	23849,4921875	27107
Q15738	NSDHL	Homo sapiens	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	NSDHL_HUMAN	1	1	2	False	8,230068971515017	NaN	NaN	NaN	NaN	NaN	15,818648192929894	NaN	8,544842305663785	NaN	NaN	NaN	300,2601013183594	NaN	NaN	NaN	NaN	NaN	57794,64453125	NaN	373,4683837890625	NaN	NaN	NaN
Q15746;Q15746-2;Q15746-3;Q15746-4;Q15746-6	MYLK	Homo sapiens	Myosin light chain kinase, smooth muscle;Isoform 2 of Myosin light chain kinase, smooth muscle;Isoform 3A of Myosin light chain kinase, smooth muscle;Isoform 3B of Myosin light chain kinase, smooth muscle;Isoform Del-1790 of Myosin light chain kinase, smooth muscle	MYLK_HUMAN	10	10	10	True	12,210021595945367	11,599031795097629	11,81873760638028	12,23120389191569	12,050985507614223	12,093747662785669	11,29898772400592	11,296549240558283	11,06380797600981	11,517189750393435	10,985894213354609	10,730463192267145	4737,86572265625	3102,10498046875	3612,38916015625	4807,9423828125	4243,3427734375	4371	2519,615234375	2515,360107421875	2140,612548828125	2931,025390625	2028,073486328125	1698,9918212890625
Q15750;Q15750-2	TAB1	Homo sapiens	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1;Isoform 2 of TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	TAB1_HUMAN	5	5	5	False	12,3265329001735	11,487828628310135	11,497779247504122	11,29332808729721	11,229215177553478	11,663276104846343	11,558371779953237	11,309172673975562	9,32853208746181	11,774134841937709	11,539277041561895	11,411312882723042	5136,3681640625	2871,977294921875	2891,8544921875	2509,750244140625	2400,65966796875	3243,365966796875	3015,897705078125	2537,4658203125	642,9363403320312	3502,416259765625	2976,243896484375	2723,6259765625
Q15759	MAPK11	Homo sapiens	Mitogen-activated protein kinase 11	MK11_HUMAN	1	1	1	False	11,327472055979992	NaN	NaN	NaN	NaN	11,271510759257616	11,975417859145928	NaN	NaN	12,418576470689448	NaN	10,252559184986746	2569,8564453125	NaN	NaN	NaN	NaN	2472,081787109375	4026,79931640625	NaN	NaN	5474,74658203125	NaN	1219,91015625
