PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ASC_WT_SN_WO_1.raw.PG.Log2Quantity	[2] ASC_WT_SN_WO_2.raw.PG.Log2Quantity	[3] ASC_WT_SN_WO_3.raw.PG.Log2Quantity	[4] ASC_WT_SN_Light_1.raw.PG.Log2Quantity	[5] ASC_WT_SN_Light_2.raw.PG.Log2Quantity	[6] ASC_WT_SN_Light_3.raw.PG.Log2Quantity	[7] ASC_TLR10_LOV_SN_WO_1.raw.PG.Log2Quantity	[8] ASC_TLR10_LOV_SN_WO_2.raw.PG.Log2Quantity	[9] ASC_TLR10_LOV_SN_WO_3.raw.PG.Log2Quantity	[10] ASC_TLR10_LOV_SN_Light_1.raw.PG.Log2Quantity	[11] ASC_TLR10_LOV_SN_Light_2.raw.PG.Log2Quantity	[12] ASC_TLR10_LOV_SN_Light_3.raw.PG.Log2Quantity	[1] ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
Q8WUX9	CHMP7	Homo sapiens	Charged multivesicular body protein 7	CHMP7_HUMAN	1	1	1	False	11,513295205833705	7,740024877675723	12,384384186659071	11,08114596914231	NaN	10,97058541719686	11,410035925164458	11,228863010890779	10,700595605377053	11,427203234690971	NaN	10,017458015323669	2923,123779296875	213,78619384765625	5346,51904296875	2166,4931640625	NaN	2006,6668701171875	2721,21630859375	2400,07373046875	1664,1798095703125	2753,790771484375	NaN	1036,4666748046875
Q8WUY3;Q8WUY3-2;Q8WUY3-3;Q8WUY3-4	PRUNE2	Homo sapiens	Protein prune homolog 2;Isoform 2 of Protein prune homolog 2;Isoform 3 of Protein prune homolog 2;Isoform 4 of Protein prune homolog 2	PRUN2_HUMAN	1	1	1	False	NaN	9,59026585853516	9,136852688425927	10,476162883084182	10,504353608251607	9,19672127927297	8,899166692887938	NaN	10,873733125895068	8,841072978890354	8,937818203326087	9,713812305315335	NaN	770,828369140625	562,9459838867188	1424,4239501953125	1452,5313720703125	586,7984619140625	477,4370422363281	NaN	1876,3758544921875	458,5937805175781	490,4010314941406	839,747802734375
Q8WUZ0	BCL7C	Homo sapiens	B-cell CLL/lymphoma 7 protein family member C	BCL7C_HUMAN	1	1	1	False	NaN	10,8367693568801	12,007510162823777	10,60559175853681	NaN	10,768686515061209	11,082086329150926	10,670462298737943	NaN	9,989978326159799	NaN	9,072819540446194	NaN	1828,9112548828125	4117,3779296875	1558,1212158203125	NaN	1744,607177734375	2167,90576171875	1629,7808837890625	NaN	1016,9114379882812	NaN	538,50634765625
Q8WV28;Q8WV28-2;Q8WV28-3	BLNK	Homo sapiens	B-cell linker protein;Isoform 2 of B-cell linker protein;Isoform 3 of B-cell linker protein	BLNK_HUMAN	1	1	1	False	NaN	NaN	NaN	8,130106411759407	9,768699738860398	8,198746121064355	NaN	-0,5745542111109888	NaN	9,20736098623595	10,114585119009034	9,065607928407632	NaN	NaN	NaN	280,15985107421875	872,3115844726562	293,8113098144531	NaN	0,6714937090873718	NaN	591,1420288085938	1108,6475830078125	535,8212280273438
Q8WVJ2	NUDCD2	Homo sapiens	NudC domain-containing protein 2	NUDC2_HUMAN	3	3	3	True	13,744999675367952	13,397932704700594	12,82730335270393	14,207557150101458	13,266964212401374	12,937571021438458	11,775941466612448	8,187209184236293	12,645715595646962	12,878264624728498	12,126117581907907	10,7813091810099	13729,578125	10793,9306640625	7267,8017578125	18919,1171875	9857,2138671875	7845,072265625	3506,804931640625	291,47113037109375	6408,25390625	7529,115234375	4470,18115234375	1759,9383544921875
Q8WVM8;Q8WVM8-2;Q8WVM8-3	SCFD1	Homo sapiens	Sec1 family domain-containing protein 1;Isoform 2 of Sec1 family domain-containing protein 1;Isoform 3 of Sec1 family domain-containing protein 1	SCFD1_HUMAN	5	5	5	True	11,487114561806026	10,858528294289435	9,420522335583202	10,600031870547427	9,90755947597008	9,632476310594118	9,312458677684331	6,681277666021976	9,613848241611317	10,128432405387873	10,090625148619717	9,362811083384171	2870,55615234375	1856,7042236328125	685,2669677734375	1552,1280517578125	960,4451904296875	793,7144775390625	635,81298828125	102,62779235839844	783,5319213867188	1119,33984375	1090,387451171875	658,3956909179688
Q8WVN6	SECTM1	Homo sapiens	Secreted and transmembrane protein 1	SCTM1_HUMAN	2	2	2	True	9,940912516479136	12,351903420124199	9,377493735515733	11,940287068337478	12,54736432457924	NaN	11,64081089380838	NaN	12,327415997996333	11,363366674152001	12,08272161090828	7,840486553688124	982,907958984375	5227,49267578125	665,1305541992188	3929,927734375	5985,94921875	NaN	3193,25244140625	NaN	5139,51318359375	2634,59716796875	4337,72119140625	229,20370483398438
Q8WVQ1;Q8WVQ1-3	CANT1	Homo sapiens	Soluble calcium-activated nucleotidase 1;Isoform 3 of Soluble calcium-activated nucleotidase 1	CANT1_HUMAN	14	14	16	False	14,299480544198897	15,098017942653424	13,90711227567878	14,338713671654496	14,764439853642243	13,701521480233062	14,459312289012253	13,885597145027464	14,195070873478699	14,1661097427901	14,155502768207088	13,280807152573987	20163,80859375	35071,65625	15362,3603515625	20719,673828125	27831,669921875	13321,9853515625	22526,13671875	15134,958984375	18756,08203125	18383,3203125	18248,658203125	9952,2509765625
Q8WVY7	UBLCP1	Homo sapiens	Ubiquitin-like domain-containing CTD phosphatase 1	UBCP1_HUMAN	2	2	2	True	10,56291386293258	9,351949102004975	10,255305679031068	NaN	NaN	4,024891938827668	5,296756746908872	2,9661506354863367	6,7092519175437975	7,632266728680991	NaN	4,258195795485853	1512,703857421875	653,457275390625	1222,2347412109375	NaN	NaN	16,27845573425293	39,30815505981445	7,814484119415283	104,63719177246094	198,39979553222656	NaN	19,135713577270508
Q8WW12	PCNP	Homo sapiens	PEST proteolytic signal-containing nuclear protein	PCNP_HUMAN	5	5	5	False	13,934984520821569	13,40804448915032	14,79070972113761	14,069404858209266	13,327579231684876	14,080234441010914	13,752757116005688	14,131710037638056	13,906131746198776	13,66427029538483	13,247369964691346	13,617652083370503	15662,0400390625	10869,8505859375	28343,095703125	17191,46484375	10280,189453125	17320,998046875	13803,6015625	17950,171875	15351,9228515625	12982,4072265625	9724,2412109375	12569,6083984375
Q8WW59	SPRYD4	Homo sapiens	SPRY domain-containing protein 4	SPRY4_HUMAN	2	2	2	False	9,104647059105169	7,264091482466653	NaN	8,378106031155268	7,689282052826894	8,228464225107063	NaN	10,846480618005739	8,001573127233058	9,53528688782336	9,127396461038089	8,9990179888879	550,5184326171875	153,71258544921875	NaN	332,7064514160156	206,39755249023438	299,9263000488281	NaN	1841,2637939453125	256,279296875	742,0059204101562	559,2681884765625	511,651611328125
Q8WWI1;Q8WWI1-3	LMO7	Homo sapiens	LIM domain only protein 7;Isoform 3 of LIM domain only protein 7	LMO7_HUMAN	29	29	30	False	14,240157632799889	14,661978871210282	15,062926090994313	14,840254683379364	15,13239178452897	14,970287608073386	14,372742202719511	15,485180600710374	14,977638913089853	14,792481224466755	15,215217329460437	15,477868300269348	19351,498046875	25923,607421875	34228,87109375	29333,359375	35917,3125	32100,04296875	21214,193359375	45867,37109375	32264,02734375	28377,919921875	38039,67578125	45635,48046875
Q8WWI5;Q8WWI5-2;Q8WWI5-3	SLC44A1	Homo sapiens	Choline transporter-like protein 1;Isoform 2 of Choline transporter-like protein 1;Isoform 3 of Choline transporter-like protein 1	CTL1_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	7,871025640082601	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	234,1072235107422	NaN	NaN	NaN
Q8WWK9;Q8WWK9-4;Q8WWK9-5;Q8WWK9-6	CKAP2	Homo sapiens	Cytoskeleton-associated protein 2;Isoform 2 of Cytoskeleton-associated protein 2;Isoform 3 of Cytoskeleton-associated protein 2;Isoform 4 of Cytoskeleton-associated protein 2	CKAP2_HUMAN	1	1	1	False	10,097651531829865	NaN	9,294889376117801	10,458554428113747	NaN	8,760208883514869	9,418169555710943	NaN	7,718065089081705	9,512379518242557	NaN	NaN	1095,7109375	NaN	628,116943359375	1407,1441650390625	NaN	433,59637451171875	684,1503295898438	NaN	210,5567169189453	730,3172607421875	NaN	NaN
