Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	Q96HR3;Q96HR3-2	Q96HR3;Q96HR3-2	-0,63922171170911	0,63922171170911	0,018962880045607044	0,03610685832045761	12	Q96HR3;Q96HR3-2	MED30	Mediator of RNA polymerase II transcription subunit 30;Isoform 2 of Mediator of RNA polymerase II transcription subunit 30	MED30_HUMAN	2	-35,79407740084491	0,6420592259915509	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q69YH5	Q69YH5	1,4757216061850091	1,4757216061850091	0,019188384717965953	0,03634470110029125	11	Q69YH5	CDCA2	Cell division cycle-associated protein 2	CDCA2_HUMAN	1	178,12272040954417	2,7812272040954418	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q14202;Q14202-2	Q14202;Q14202-2	-1,093721841817734	1,093721841817734	0,019322969183657966	0,0364863565184089	12	Q14202;Q14202-2	ZMYM3	Zinc finger MYM-type protein 3;Isoform 2 of Zinc finger MYM-type protein 3	ZMYM3_HUMAN	3	-53,14489464924824	0,4685510535075176	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9Y2L9;Q9Y2L9-2;Q9Y2L9-3	Q9Y2L9;Q9Y2L9-2;Q9Y2L9-3	-0,9029851536536234	0,9029851536536234	0,019526994486366998	0,03671074963436995	12	Q9Y2L9;Q9Y2L9-2;Q9Y2L9-3	LRCH1	Leucine-rich repeat and calponin homology domain-containing protein 1;Isoform 2 of Leucine-rich repeat and calponin homology domain-containing protein 1;Isoform 3 of Leucine-rich repeat and calponin homology domain-containing protein 1	LRCH1_HUMAN	4	-46,52209528332778	0,5347790471667222	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9BVT8	Q9BVT8	-0,6119899601192754	0,6119899601192754	0,01980409891352151	0,03699111447327345	12	Q9BVT8	TMUB1	Transmembrane and ubiquitin-like domain-containing protein 1	TMUB1_HUMAN	2	-34,570641098399726	0,6542935890160028	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9NWS6	Q9NWS6	-2,235718557431218	2,235718557431218	0,01997431070575109	0,037176365818071905	8	Q9NWS6	FAM118A	Protein FAM118A	F118A_HUMAN	3	-78,76845236864764	0,2123154763135235	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q504Q3;Q504Q3-2;Q504Q3-3	Q504Q3;Q504Q3-2;Q504Q3-3	-1,1688002926544718	1,1688002926544718	0,020766734554236662	0,038028584246926594	10	Q504Q3;Q504Q3-2;Q504Q3-3	PAN2	PAN2-PAN3 deadenylation complex catalytic subunit PAN2;Isoform 2 of PAN2-PAN3 deadenylation complex catalytic subunit PAN2;Isoform 3 of PAN2-PAN3 deadenylation complex catalytic subunit PAN2	PAN2_HUMAN	3	-55,52089365851043	0,4447910634148957	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O43504	O43504	-0,7727574913902232	0,7727574913902232	0,020863343773599097	0,03810200798257141	12	O43504	LAMTOR5	Ragulator complex protein LAMTOR5	LTOR5_HUMAN	4	-41,47023024069074	0,5852976975930926	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q8N9R8;Q8N9R8-2	Q8N9R8;Q8N9R8-2	-1,4172763048758126	1,4172763048758126	0,021180076875469626	0,03839161456060762	12	Q8N9R8;Q8N9R8-2	SCAI	Protein SCAI;Isoform 2 of Protein SCAI	SCAI_HUMAN	4	-62,558148187544724	0,3744185181245527	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q96Q07;Q96Q07-2;Q96Q07-3	Q96Q07;Q96Q07-2;Q96Q07-3	-0,6900733118438171	0,6900733118438171	0,0220430048542272	0,03937013162600258	6	Q96Q07;Q96Q07-2;Q96Q07-3	BTBD9	BTB/POZ domain-containing protein 9;Isoform 2 of BTB/POZ domain-containing protein 9;Isoform 3 of BTB/POZ domain-containing protein 9	BTBD9_HUMAN	1	-38,017764766012775	0,6198223523398723	TLR10_WO	WT_WO	NaN	NaN	NaN
