Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	Q13561;Q13561-2;Q13561-3	Q13561;Q13561-2;Q13561-3	-0,5859227669338268	0,5859227669338268	0,0084590684005343	0,0366758480440655	12	Q13561;Q13561-2;Q13561-3	DCTN2	Dynactin subunit 2;Isoform 2 of Dynactin subunit 2;Isoform 3 of Dynactin subunit 2	DCTN2_HUMAN	10	-33,37769229009909	0,6662230770990091	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14515;Q14515-2	Q14515;Q14515-2	-0,8860334286086244	0,8860334286086244	0,008589001580126668	0,037012977837349595	12	Q14515;Q14515-2	SPARCL1	SPARC-like protein 1;Isoform 2 of SPARC-like protein 1	SPRL1_HUMAN	11	-45,89002156761847	0,5410997843238153	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O75955;O75955-2	O75955;O75955-2	0,974428655584242	0,974428655584242	0,008717497796580528	0,037322546276724995	12	O75955;O75955-2	FLOT1	Flotillin-1;Isoform 2 of Flotillin-1	FLOT1_HUMAN	7	96,48629066417986	1,9648629066417986	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P05413	P05413	0,5976033132502165	0,5976033132502165	0,008710697680585298	0,037322546276724995	12	P05413	FABP3	Fatty acid-binding protein, heart	FABPH_HUMAN	3	51,32006626242698	1,5132006626242698	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P54578;P54578-2;P54578-3	P54578;P54578-2;P54578-3	-0,6674943021952379	0,6674943021952379	0,008725668314436955	0,0373401917381613	12	P54578;P54578-2;P54578-3	USP14	Ubiquitin carboxyl-terminal hydrolase 14;Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 14;Isoform 3 of Ubiquitin carboxyl-terminal hydrolase 14	UBP14_HUMAN	12	-37,040076290318034	0,6295992370968196	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P04732	P04732	-0,7416169061748508	0,7416169061748508	0,008899598626216206	0,037769028316137064	12	P04732	MT1E	Metallothionein-1E	MT1E_HUMAN	2	-40,19313112938011	0,5980686887061989	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q8WXF1;Q8WXF1-2	Q8WXF1;Q8WXF1-2	-0,7839583571273282	0,7839583571273282	0,009055401898848552	0,038169542918987207	11	Q8WXF1;Q8WXF1-2	PSPC1	Paraspeckle component 1;Isoform 2 of Paraspeckle component 1	PSPC1_HUMAN	4	-41,9228870529628	0,580771129470372	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P09972	P09972	-0,6146945775128445	0,6146945775128445	0,009103293173948084	0,03825919269338878	12	P09972	ALDOC	Fructose-bisphosphate aldolase C	ALDOC_HUMAN	5	-34,693186477820426	0,6530681352217957	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q00839;Q00839-2	Q00839;Q00839-2	-0,7657976397813526	0,7657976397813526	0,009128474093594399	0,03828493711024885	12	Q00839;Q00839-2	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;Isoform 2 of Heterogeneous nuclear ribonucleoprotein U	HNRPU_HUMAN	15	-41,187188660587104	0,588128113394129	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P07951-2	P07951-2	-0,8449710440284084	0,8449710440284084	0,009346172408830613	0,038835710531794146	12	P07951-2	TPM2	Isoform 2 of Tropomyosin beta chain	TPM2_HUMAN	7	-44,32780171700143	0,5567219828299858	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q17RW2;Q17RW2-2	Q17RW2;Q17RW2-2	-0,7504901986442368	0,7504901986442368	0,009354965978364804	0,03884353725910861	12	Q17RW2;Q17RW2-2	COL24A1	Collagen alpha-1(XXIV) chain;Isoform 2 of Collagen alpha-1(XXIV) chain	COOA1_HUMAN	1	-40,5598442461645	0,594401557538355	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P02741;P02741-2	P02741;P02741-2	1,1239031273943978	1,1239031273943978	0,009360603820418943	0,038849454739830556	12	P02741;P02741-2	CRP	C-reactive protein;Isoform 2 of C-reactive protein	CRP_HUMAN	1	117,93578822276447	2,1793578822276447	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O76003	O76003	-0,6133019192439998	0,6133019192439998	0,009419401778781833	0,03891833476878408	12	O76003	GLRX3	Glutaredoxin-3	GLRX3_HUMAN	9	-34,630114253097744	0,6536988574690226	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9BUJ2;Q9BUJ2-2;Q9BUJ2-4	Q9BUJ2;Q9BUJ2-2;Q9BUJ2-4	-1,4885976963864243	1,4885976963864243	0,009513987851626781	0,039012003542775536	12	Q9BUJ2;Q9BUJ2-2;Q9BUJ2-4	HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U-like protein 1;Isoform 2 of Heterogeneous nuclear ribonucleoprotein U-like protein 1;Isoform 4 of Heterogeneous nuclear ribonucleoprotein U-like protein 1	HNRL1_HUMAN	4	-64,36412376748262	0,35635876232517383	TLR10_Light	WT_Light	NaN	NaN	NaN
