Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	Q10588	Q10588	1,771775645770485	1,771775645770485	7,90759464333519E-07	0,00019181487525736274	12	Q10588	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	BST1_HUMAN	8	241,4739788375188	3,414739788375188	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q8NFC6	Q8NFC6	-0,6153180575882343	0,6153180575882343	7,451179939336245E-07	0,00019181487525736274	12	Q8NFC6	BOD1L1	Biorientation of chromosomes in cell division protein 1-like 1	BD1L1_HUMAN	33	-34,721403598434755	0,6527859640156525	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q92504	Q92504	2,429283866516907	2,429283866516907	8,618350454542705E-07	0,00019181487525736274	12	Q92504	SLC39A7	Zinc transporter SLC39A7	S39A7_HUMAN	4	438,62599802352076	5,386259980235208	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9C037-2	Q9C037-2	1,0106241715446234	1,0106241715446234	8,649075651329625E-07	0,00019181487525736274	12	Q9C037-2	TRIM4	Isoform Beta of E3 ubiquitin-protein ligase TRIM4	TRIM4_HUMAN	11	101,47825926515468	2,014782592651547	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9UK23;Q9UK23-2;Q9UK23-3	Q9UK23;Q9UK23-2;Q9UK23-3	1,4072552084361403	1,4072552084361403	8,057428691332794E-07	0,00019181487525736274	12	Q9UK23;Q9UK23-2;Q9UK23-3	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase;Isoform 2 of N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase;Isoform 3 of N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	NAGPA_HUMAN	3	165,23206666909255	2,6523206666909256	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P40121	P40121	0,9354843808894817	0,9354843808894817	9,154997832825017E-07	0,00019747998868708592	12	P40121	CAPG	Macrophage-capping protein	CAPG_HUMAN	12	91,25326549786183	1,9125326549786184	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9NW13	Q9NW13	-0,6709485766612224	0,6709485766612224	1,0151548388402413E-06	0,00020012085723003959	12	Q9NW13	RBM28	RNA-binding protein 28	RBM28_HUMAN	23	-37,190642209598245	0,6280935779040175	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P35580;P35580-2;P35580-5	P35580;P35580-2;P35580-5	1,0567256253942434	1,0567256253942434	1,1094818528273027E-06	0,000211660505729699	12	P35580;P35580-2;P35580-5	MYH10	Myosin-10;Isoform 2 of Myosin-10;Isoform 5 of Myosin-10	MYH10_HUMAN	66	108,0204877930289	2,080204877930289	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P05120	P05120	-1,195600334984302	1,195600334984302	1,3114608591474865E-06	0,0002272376471816804	12	P05120	SERPINB2	Plasminogen activator inhibitor 2	PAI2_HUMAN	14	-56,339527002662784	0,4366047299733722	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9UHA4	Q9UHA4	0,6095033581943909	0,6095033581943909	2,0559665144548852E-06	0,00028480977218183704	12	Q9UHA4	LAMTOR3	Ragulator complex protein LAMTOR3	LTOR3_HUMAN	3	52,57338909598997	1,5257338909598996	TLR10_WO	WT_WO	NaN	NaN	NaN
