Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	P12259	P12259	-0,814260662298605	0,814260662298605	0,00959949014755899	0,03704387348017674	12	P12259	F5	Coagulation factor V	FA5_HUMAN	5	-43,13001465219924	0,5686998534780076	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P33991	P33991	-1,2154381895250475	1,2154381895250475	0,009586171171612087	0,03704387348017674	12	P33991	MCM4	DNA replication licensing factor MCM4	MCM4_HUMAN	3	-56,93577389121707	0,43064226108782927	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P52926;P52926-2;P52926-3;P52926-4;P52926-5;P52926-6	P52926;P52926-2;P52926-3;P52926-4;P52926-5;P52926-6	-0,9006842840328406	0,9006842840328406	0,009598733672519016	0,03704387348017674	12	P52926;P52926-2;P52926-3;P52926-4;P52926-5;P52926-6	HMGA2	High mobility group protein HMGI-C;Isoform 2 of High mobility group protein HMGI-C;Isoform 3 of High mobility group protein HMGI-C;Isoform 4 of High mobility group protein HMGI-C;Isoform 5 of High mobility group protein HMGI-C;Isoform 6 of High mobility group protein HMGI-C	HMGA2_HUMAN	2	-46,43673846556071	0,5356326153443929	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q5JTJ3;Q5JTJ3-2;Q5JTJ3-3	Q5JTJ3;Q5JTJ3-2;Q5JTJ3-3	-0,8882287186660561	0,8882287186660561	0,0098726932662608	0,037586549968423234	12	Q5JTJ3;Q5JTJ3-2;Q5JTJ3-3	COA6	Cytochrome c oxidase assembly factor 6 homolog;Isoform 2 of Cytochrome c oxidase assembly factor 6 homolog;Isoform 3 of Cytochrome c oxidase assembly factor 6 homolog	COA6_HUMAN	3	-45,972295896832115	0,5402770410316788	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q99075	Q99075	-3,234593255177266	3,234593255177266	0,009874069745634994	0,037586549968423234	10	Q99075	HBEGF	Proheparin-binding EGF-like growth factor	HBEGF_HUMAN	1	-89,37594264969057	0,10624057350309432	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q13753;Q13753-2	Q13753;Q13753-2	-0,5989758473774686	0,5989758473774686	0,010061851646432408	0,0379231145351583	12	Q13753;Q13753-2	LAMC2	Laminin subunit gamma-2;Isoform Short of Laminin subunit gamma-2	LAMC2_HUMAN	12	-33,97775265878621	0,6602224734121379	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P25445;P25445-6	P25445;P25445-6	-0,6275605921059227	0,6275605921059227	0,010107852734198956	0,03797524369709056	12	P25445;P25445-6	FAS	Tumor necrosis factor receptor superfamily member 6;Isoform 6 of Tumor necrosis factor receptor superfamily member 6	TNR6_HUMAN	3	-35,27300609613364	0,6472699390386636	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P37198	P37198	-1,6039697774173969	1,6039697774173969	0,010323445515634834	0,03844684121181272	12	P37198	NUP62	Nuclear pore glycoprotein p62	NUP62_HUMAN	2	-67,10294773108268	0,32897052268917315	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P39748;P39748-2	P39748;P39748-2	-2,0536133984105076	2,0536133984105076	0,010505734226309812	0,038747619764095596	12	P39748;P39748-2	FEN1	Flap endonuclease 1;Isoform FENMIT of Flap endonuclease 1	FEN1_HUMAN	3	-75,91199860915191	0,24088001390848088	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96AM1	Q96AM1	-0,76862068669771	0,76862068669771	0,010717752867621697	0,03921652133054742	12	Q96AM1	MRGPRF	Mas-related G-protein coupled receptor member F	MRGRF_HUMAN	1	-41,30216028170348	0,5869783971829652	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q8WU90	Q8WU90	-0,6874755134860927	0,6874755134860927	0,011010482866183205	0,03990504483871023	12	Q8WU90	ZC3H15	Zinc finger CCCH domain-containing protein 15	ZC3HF_HUMAN	1	-37,90605549977156	0,6209394450022844	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P04439-2	P04439-2	-0,6025406141620181	0,6025406141620181	0,011055554978852572	0,03997902311223113	12	P04439-2	HLA-A	Isoform 2 of HLA class I histocompatibility antigen, A alpha chain	HLAA_HUMAN	1	-34,140686181187455	0,6585931381881255	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P0DJI8	P0DJI8	1,1719779338966154	1,1719779338966154	0,011407256452076043	0,0406383511105209	11	P0DJI8	SAA1	Serum amyloid A-1 protein	SAA1_HUMAN	3	125,3203993846701	2,253203993846701	TLR10_Light	WT_Light	NaN	NaN	NaN
