Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	Q16527	Q16527	-1,5236853137967967	1,5236853137967967	0,0003118727042696649	0,0038571171817663313	12	Q16527	CSRP2	Cysteine and glycine-rich protein 2	CSRP2_HUMAN	7	-65,2203652665766	0,3477963473342341	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q15819	Q15819	-0,6590190748066874	0,6590190748066874	0,0003328318737743238	0,0039736463146569775	12	Q15819	UBE2V2	Ubiquitin-conjugating enzyme E2 variant 2	UB2V2_HUMAN	2	-36,66912465794603	0,6333087534205397	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9P266	Q9P266	1,1880361854891188	1,1880361854891188	0,0003768483886420008	0,004256745864855764	12	Q9P266	JCAD	Junctional protein associated with coronary artery disease	JCAD_HUMAN	20	127,84239008590963	2,2784239008590963	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q5BJF6;Q5BJF6-10;Q5BJF6-2;Q5BJF6-3;Q5BJF6-4;Q5BJF6-5;Q5BJF6-6;Q5BJF6-7;Q5BJF6-8;Q5BJF6-9	Q5BJF6;Q5BJF6-10;Q5BJF6-2;Q5BJF6-3;Q5BJF6-4;Q5BJF6-5;Q5BJF6-6;Q5BJF6-7;Q5BJF6-8;Q5BJF6-9	-1,0220795640968166	1,0220795640968166	0,00041663685274398145	0,004525602080472402	11	Q5BJF6;Q5BJF6-10;Q5BJF6-2;Q5BJF6-3;Q5BJF6-4;Q5BJF6-5;Q5BJF6-6;Q5BJF6-7;Q5BJF6-8;Q5BJF6-9	ODF2	Outer dense fiber protein 2;Isoform 10 of Outer dense fiber protein 2;Isoform 2 of Outer dense fiber protein 2;Isoform 3 of Outer dense fiber protein 2;Isoform 4 of Outer dense fiber protein 2;Isoform 5 of Outer dense fiber protein 2;Isoform 6 of Outer dense fiber protein 2;Isoform 7 of Outer dense fiber protein 2;Isoform 8 of Outer dense fiber protein 2;Isoform 9 of Outer dense fiber protein 2	ODFP2_HUMAN	3	-50,759393531303346	0,4924060646869665	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96Q06-2	Q96Q06-2	0,5979488918162668	0,5979488918162668	0,00045066319122611217	0,004694619142992143	12	Q96Q06-2	PLIN4	Isoform 2 of Perilipin-4	PLIN4_HUMAN	63	51,35631732975388	1,5135631732975388	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P51911	P51911	-0,6490787024278549	0,6490787024278549	0,000455975464525569	0,004734589634840109	12	P51911	CNN1	Calponin-1	CNN1_HUMAN	14	-36,23125924664422	0,6376874075335578	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P51513;P51513-5	P51513;P51513-5	-2,064289641056865	2,064289641056865	0,0004661788852193283	0,004769612539931087	12	P51513;P51513-5	NOVA1	RNA-binding protein Nova-1;Isoform 3 of RNA-binding protein Nova-1	NOVA1_HUMAN	3	-76,08959687495351	0,2391040312504648	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P11171;P11171-2;P11171-3;P11171-4	P11171;P11171-2;P11171-3;P11171-4	-1,1160114306336522	1,1160114306336522	0,0005261349325868156	0,005058146464869695	12	P11171;P11171-2;P11171-3;P11171-4	EPB41	Protein 4.1;Isoform 2 of Protein 4.1;Isoform 3 of Protein 4.1;Isoform 4 of Protein 4.1	EPB41_HUMAN	9	-53,863240915444145	0,46136759084555856	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9HCJ6	Q9HCJ6	-1,2240699572180056	1,2240699572180056	0,0005331280829106621	0,005097173729618223	12	Q9HCJ6	VAT1L	Synaptic vesicle membrane protein VAT-1 homolog-like	VAT1L_HUMAN	2	-57,19266157860255	0,42807338421397456	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q86SU0-5	Q86SU0-5	-0,8288663850127094	0,8288663850127094	0,0005340579787719736	0,005099043495480712	10	Q86SU0-5	ILDR1	Isoform 5 of Immunoglobulin-like domain-containing receptor 1	ILDR1_HUMAN	1	-43,70285698304626	0,5629714301695374	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q8IW50;Q8IW50-2;Q8IW50-3;Q8IW50-4;Q8IW50-5;Q8IW50-6;Q8IW50-7	Q8IW50;Q8IW50-2;Q8IW50-3;Q8IW50-4;Q8IW50-5;Q8IW50-6;Q8IW50-7	0,7926802492586301	0,7926802492586301	0,0005517842316903144	0,005188615023209067	12	Q8IW50;Q8IW50-2;Q8IW50-3;Q8IW50-4;Q8IW50-5;Q8IW50-6;Q8IW50-7	FAM219A	Protein FAM219A;Isoform 2 of Protein FAM219A;Isoform 3 of Protein FAM219A;Isoform 4 of Protein FAM219A;Isoform 5 of Protein FAM219A;Isoform 6 of Protein FAM219A;Isoform 7 of Protein FAM219A	F219A_HUMAN	1	73,22897353844905	1,7322897353844906	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P05155;P05155-2;P05155-3	P05155;P05155-2;P05155-3	1,066232066837694	1,066232066837694	0,0005717852366665656	0,005277546070233008	12	P05155;P05155-2;P05155-3	SERPING1	Plasma protease C1 inhibitor;Isoform 2 of Plasma protease C1 inhibitor;Isoform 3 of Plasma protease C1 inhibitor	IC1_HUMAN	8	109,39573634589483	2,0939573634589483	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O75106;O75106-2	O75106;O75106-2	0,9421803250432909	0,9421803250432909	0,0005791416388257385	0,0053061749401690905	12	O75106;O75106-2	AOC2	Retina-specific copper amine oxidase;Isoform 2 of Retina-specific copper amine oxidase	AOC2_HUMAN	6	92,14298758681856	1,9214298758681856	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P06737;P06737-2	P06737;P06737-2	0,6017790487328517	0,6017790487328517	0,000585184592091696	0,005336534115940691	12	P06737;P06737-2	PYGL	Glycogen phosphorylase, liver form;Isoform 2 of Glycogen phosphorylase, liver form	PYGL_HUMAN	29	51,7586814102182	1,517586814102182	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q16647	Q16647	0,7467453052006517	0,7467453052006517	0,0006079893861966223	0,0054705055126168245	12	Q16647	PTGIS	Prostacyclin synthase	PTGIS_HUMAN	10	67,8003011763005	1,678003011763005	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q16082	Q16082	0,9974938822530359	0,9974938822530359	0,0006128326329986775	0,005483800293084733	12	Q16082	HSPB2	Heat shock protein beta-2	HSPB2_HUMAN	5	99,65287988983403	1,9965287988983402	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96MG8;Q96MG8-2	Q96MG8;Q96MG8-2	-0,601496985854394	0,601496985854394	0,0006457188755262188	0,005622983650639671	12	Q96MG8;Q96MG8-2	PCMTD1	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1;Isoform 2 of Protein-L-isoaspartate O-methyltransferase domain-containing protein 1	PCMD1_HUMAN	2	-34,093027106709094	0,659069728932909	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96EK4	Q96EK4	-0,813442422365104	0,813442422365104	0,0007551852306244479	0,006081293916461781	12	Q96EK4	THAP11	THAP domain-containing protein 11	THA11_HUMAN	4	-43,097751082884415	0,5690224891711558	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P23229;P23229-2;P23229-3;P23229-4;P23229-5;P23229-6;P23229-7;P23229-9	P23229;P23229-2;P23229-3;P23229-4;P23229-5;P23229-6;P23229-7;P23229-9	0,9202415459867574	0,9202415459867574	0,0007867147247196897	0,006224947914900597	11	P23229;P23229-2;P23229-3;P23229-4;P23229-5;P23229-6;P23229-7;P23229-9	ITGA6	Integrin alpha-6;Isoform Alpha-6X1A of Integrin alpha-6;Isoform Alpha-6X1B of Integrin alpha-6;Isoform Alpha-6X2A of Integrin alpha-6;Isoform Alpha-6X2B of Integrin alpha-6;Isoform Alpha-6X1X2A of Integrin alpha-6;Isoform 7 of Integrin alpha-6;Isoform 9 of Integrin alpha-6	ITA6_HUMAN	2	89,24321110076386	1,8924321110076385	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P24298	P24298	-2,283734155797823	2,283734155797823	0,0008600434856566609	0,006489992370343125	12	P24298	GPT	Alanine aminotransferase 1	ALAT1_HUMAN	3	-79,46344857677373	0,2053655142322627	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9BVJ7	Q9BVJ7	-0,585559304696833	0,585559304696833	0,0008708762231142996	0,006548989197819533	12	Q9BVJ7	DUSP23	Dual specificity protein phosphatase 23	DUS23_HUMAN	9	-33,36090582948079	0,6663909417051921	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P05362	P05362	-0,8369902557219657	0,8369902557219657	0,0008725512291089492	0,006549957688255388	12	P05362	ICAM1	Intercellular adhesion molecule 1	ICAM1_HUMAN	6	-44,01897746048748	0,5598102253951253	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q09472	Q09472	-0,6057191349279202	0,6057191349279202	0,0008940350247547673	0,0066262974996229	12	Q09472	EP300	Histone acetyltransferase p300	EP300_HUMAN	8	-34,28562655880818	0,6571437344119182	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P31513	P31513	-1,0723657981968473	1,0723657981968473	0,0008950915314184257	0,00663161410469612	12	P31513	FMO3	Dimethylaniline monooxygenase [N-oxide-forming] 3	FMO3_HUMAN	15	-52,44614508661321	0,4755385491338679	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P43652	P43652	-1,8653791131700674	1,8653791131700674	0,0009243131866898102	0,006742645319723365	12	P43652	AFM	Afamin	AFAM_HUMAN	1	-72,55489266192865	0,27445107338071345	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9UKZ1	Q9UKZ1	-0,7283601375204078	0,7283601375204078	0,0009416801940340242	0,006819159686575274	12	Q9UKZ1	CNOT11	CCR4-NOT transcription complex subunit 11	CNO11_HUMAN	4	-39,641039611531696	0,6035896038846831	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P35527	P35527	-1,9039776010986478	1,9039776010986478	0,0009571599226014866	0,0068802907377589215	12	P35527	KRT9	Keratin, type I cytoskeletal 9	K1C9_HUMAN	25	-73,27943536653116	0,2672056463346884	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q5SRE7	Q5SRE7	2,7113900266101543	2,7113900266101543	0,0009662556894916728	0,006907543541300838	11	Q5SRE7	PHYHD1	Phytanoyl-CoA dioxygenase domain-containing protein 1	PHYD1_HUMAN	9	554,9523849966572	6,5495238499665716	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q53FZ2	Q53FZ2	-1,9116354705705259	1,9116354705705259	0,0009720713626025059	0,006928887816844403	11	Q53FZ2	ACSM3	Acyl-coenzyme A synthetase ACSM3, mitochondrial	ACSM3_HUMAN	11	-73,42089317881708	0,26579106821182924	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P05787;P05787-2	P05787;P05787-2	0,6852850122709623	0,6852850122709623	0,0010129342606504535	0,007070698814477936	12	P05787;P05787-2	KRT8	Keratin, type II cytoskeletal 8;Isoform 2 of Keratin, type II cytoskeletal 8	K2C8_HUMAN	10	60,80196231528934	1,6080196231528934	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P01008	P01008	1,9424560478578574	1,9424560478578574	0,0010870107999887805	0,007351516832023741	11	P01008	SERPINC1	Antithrombin-III	ANT3_HUMAN	2	284,359425579526	3,8435942557952596	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q75N03;Q75N03-2	Q75N03;Q75N03-2	-1,0066204100110077	1,0066204100110077	0,0011217638693610072	0,007470274922938152	12	Q75N03;Q75N03-2	CBLL1	E3 ubiquitin-protein ligase Hakai;Isoform 2 of E3 ubiquitin-protein ligase Hakai	HAKAI_HUMAN	3	-50,22892027669377	0,4977107972330624	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9BVT8	Q9BVT8	-0,6744406532761776	0,6744406532761776	0,001145946028414666	0,00755667343931317	12	Q9BVT8	TMUB1	Transmembrane and ubiquitin-like domain-containing protein 1	TMUB1_HUMAN	2	-37,34248985900367	0,6265751014099633	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9NRF9	Q9NRF9	-0,6894960649381288	0,6894960649381288	0,0012209192002523696	0,0077858487290718625	12	Q9NRF9	POLE3	DNA polymerase epsilon subunit 3	DPOE3_HUMAN	2	-37,99295965381517	0,6200704034618483	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q8TAP9	Q8TAP9	-1,2466190688369365	1,2466190688369365	0,0012267520231365949	0,00781063010631406	11	Q8TAP9	MPLKIP	M-phase-specific PLK1-interacting protein	MPLKI_HUMAN	1	-57,85653237521198	0,4214346762478802	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q13547	Q13547	-0,6674179317415002	0,6674179317415002	0,0012408013722669026	0,007863905488026735	12	Q13547	HDAC1	Histone deacetylase 1	HDAC1_HUMAN	12	-37,03674335780467	0,6296325664219533	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q6DKJ4	Q6DKJ4	0,977684697228618	0,977684697228618	0,0012784366633017575	0,008003840422950997	12	Q6DKJ4	NXN	Nucleoredoxin	NXN_HUMAN	7	96,93024452904002	1,9693024452904002	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9H2I8	Q9H2I8	1,6424654272840906	1,6424654272840906	0,0013020559373705571	0,008072206307295148	10	Q9H2I8	LRMDA	Leucine-rich melanocyte differentiation-associated protein	LRMDA_HUMAN	1	212,19889418828242	3,121988941882824	TLR10_Light	WT_Light	NaN	NaN	NaN
