Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	O60313;O60313-10;O60313-11;O60313-13;O60313-2;O60313-9	O60313;O60313-10;O60313-11;O60313-13;O60313-2;O60313-9	-1,2334465393374747	1,2334465393374747	0,0030967167540804385	0,013756683925161267	10	O60313;O60313-10;O60313-11;O60313-13;O60313-2;O60313-9	OPA1	Dynamin-like 120 kDa protein, mitochondrial;Isoform 4 of Dynamin-like 120 kDa protein, mitochondrial;Isoform 5 of Dynamin-like 120 kDa protein, mitochondrial;Isoform 7 of Dynamin-like 120 kDa protein, mitochondrial;Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial;Isoform 3 of Dynamin-like 120 kDa protein, mitochondrial	OPA1_HUMAN	12	-57,46997934702903	0,4253002065297097	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q6ZN30;Q6ZN30-2	Q6ZN30;Q6ZN30-2	1,167627128117106	1,167627128117106	0,0031220967466543672	0,013830912625935015	12	Q6ZN30;Q6ZN30-2	BNC2	Zinc finger protein basonuclin-2;Isoform 2 of Zinc finger protein basonuclin-2	BNC2_HUMAN	1	124,64191325586813	2,2464191325586813	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P62244	P62244	-0,8059270930285807	0,8059270930285807	0,003131592641975204	0,013835046650915717	12	P62244	RPS15A	40S ribosomal protein S15a	RS15A_HUMAN	6	-42,80056082421988	0,5719943917578012	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P09497;P09497-2	P09497;P09497-2	0,7130629613700314	0,7130629613700314	0,00323065134704404	0,014058106483715745	12	P09497;P09497-2	CLTB	Clathrin light chain B;Isoform Non-brain of Clathrin light chain B	CLCB_HUMAN	7	63,92807543786703	1,6392807543786703	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q13885	Q13885	1,2366618010112196	1,2366618010112196	0,0032648568113748046	0,014155582683202536	12	Q13885	TUBB2A	Tubulin beta-2A chain	TBB2A_HUMAN	3	135,65263300178538	2,3565263300178536	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q8WUH6	Q8WUH6	-0,841622361840874	0,841622361840874	0,0033316650499808707	0,014312178316038603	11	Q8WUH6	TMEM263	Transmembrane protein 263	TM263_HUMAN	3	-44,19842924167223	0,5580157075832777	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O95831;O95831-3	O95831;O95831-3	-1,0021596601971365	1,0021596601971365	0,0033495597084978483	0,014340515306845977	12	O95831;O95831-3	AIFM1	Apoptosis-inducing factor 1, mitochondrial;Isoform 3 of Apoptosis-inducing factor 1, mitochondrial	AIFM1_HUMAN	12	-50,07479212436573	0,4992520787563427	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q16706	Q16706	-0,7644614124931888	0,7644614124931888	0,0033638630515644987	0,014364218783101679	12	Q16706	MAN2A1	Alpha-mannosidase 2	MA2A1_HUMAN	19	-41,13269087257777	0,5886730912742223	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9H488	Q9H488	-0,7757601884836502	0,7757601884836502	0,0034198431711011156	0,014466773168001575	12	Q9H488	POFUT1	GDP-fucose protein O-fucosyltransferase 1	OFUT1_HUMAN	7	-41,591922212395005	0,58408077787605	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P10412	P10412	1,5632401112103518	1,5632401112103518	0,0034595402795723823	0,014553348758824197	12	P10412	H1-4	Histone H1.4	H14_HUMAN	1	195,5167921953393	2,955167921953393	TLR10_WO	WT_WO	NaN	NaN	NaN
